ID	Type	RA	Decl	I	V	V_I	P	A_1	A_2
OGLE-LMC-ECL-06781	ELL	05:04:58.86	-67:40:48.7	16.794	16.655	-0.139	0.85477910	0.144	0.122
OGLE-LMC-ECL-06955	C	05:05:21.92	-70:41:19.5	15.360	15.157	-0.203	1.66154430	0.128	0.121
OGLE-LMC-ECL-07050	C	05:05:35.36	-67:03:11.6	18.840	18.998	0.158	0.71950700	0.639	0.634
OGLE-LMC-ECL-07131	ELL	05:05:45.89	-69:12:06.5	17.944	17.958	0.014	0.55349040	0.172	0.097
OGLE-LMC-ECL-07205	ELL	05:05:55.56	-69:32:32.0	17.580	18.602	1.022	17.35211410	0.133	0.133
OGLE-LMC-ECL-07334	ELL	05:06:09.55	-69:18:32.9	17.398	17.367	-0.031	1.24766470	0.069	0.030
OGLE-LMC-ECL-07364	ELL	05:06:13.13	-69:58:29.4	16.897	16.974	0.077	5.81845450	0.057	0.029
OGLE-LMC-ECL-07378	C	05:06:14.93	-69:09:02.9	18.278	18.347	0.069	0.89242830	0.429	0.417
OGLE-LMC-ECL-07389	ELL	05:06:16.88	-71:14:56.7	15.726	17.177	1.451	300.70189040	0.064	0.037
OGLE-LMC-ECL-07633	ELL	05:06:50.81	-70:12:43.6	17.229	18.341	1.112	31.60120840	0.094	0.087
OGLE-LMC-ECL-07642	ELL	05:06:51.98	-66:53:38.9	16.437	16.425	-0.012	7.26101470	0.062	0.060
OGLE-LMC-ECL-07671	ELL	05:06:56.46	-69:08:17.3	18.717	19.310	0.593	11.09380630	0.243	0.172
OGLE-LMC-ECL-07734	ELL	05:07:04.67	-70:58:27.0	17.569	18.808	1.239	28.71899950	0.115	0.103
OGLE-LMC-ECL-07738	ELL	05:07:04.95	-69:00:41.4	18.306	19.451	1.145	13.27257830	0.178	0.133
OGLE-LMC-ECL-07801	ELL	05:07:12.80	-68:52:18.8	17.967	18.008	0.041	1.03841710	0.188	0.127
OGLE-LMC-ECL-07869	C	05:07:20.79	-68:07:29.5	16.520	16.378	-0.142	2.06584730	0.177	0.170
OGLE-LMC-ECL-07885	ELL	05:07:23.49	-70:09:43.2	15.461	15.606	0.145	10.35564200	0.024	0.022
OGLE-LMC-ECL-07948	ELL	05:07:32.16	-67:37:49.0	17.325	18.416	1.091	70.88820400	0.134	0.128
OGLE-LMC-ECL-07997	ELL	05:07:39.39	-67:40:24.3	16.541	16.461	-0.080	0.90951100	0.141	0.113
OGLE-LMC-ECL-08082	ELL	05:07:52.07	-68:13:53.3	17.627	18.200	0.573	19.13866090	0.106	0.092
OGLE-LMC-ECL-08213	ELL	05:08:10.40	-70:24:06.6	15.593	17.118	1.525	132.36707910	0.195	0.105
OGLE-LMC-ECL-08306	ELL	05:08:26.75	-69:11:59.9	15.487	15.457	-0.030	4.06966400	0.075	0.010
OGLE-LMC-ECL-08338	C	05:08:32.69	-71:13:38.5	15.305	15.231	-0.074	1.27747140	0.470	0.459
OGLE-LMC-ECL-08414	C	05:08:41.46	-67:06:01.1	19.054	20.055	1.001	61.16119300	0.123	0.105
OGLE-LMC-ECL-08500	C	05:08:53.96	-69:36:21.1	13.576	13.489	-0.087	3.61649490	0.388	0.368
OGLE-LMC-ECL-08519	ELL	05:08:56.13	-70:20:44.9	17.219	17.619	0.400	9.76825370	0.105	0.084
OGLE-LMC-ECL-08577	ELL	05:09:05.00	-70:07:33.8	17.222	17.240	0.018	1.87670270	0.150	0.084
OGLE-LMC-ECL-08606	ELL	05:09:08.75	-69:31:35.5	17.119	17.065	-0.054	1.52721520	0.112	0.049
OGLE-LMC-ECL-08743	ELL	05:09:27.53	-70:06:27.0	15.974	16.510	0.536	16.63636570	0.144	0.101
