  EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  195         8.1500000000000004E+000         3.2628635373990622E-001         3.2628575538093246E-001         3.5423617534936733E+000         4.9311320506803051E+000        -1.8553428826676877E+000         0.0000000000000000E+000            0.041268           13.496025           12.428701           11.049294           10.028569            8.833088            7.602427            6.944652            6.739312           10.121803           11.724288           11.062286           12.690494           11.261528           10.143784           11.318962            9.102938           10.125275           11.274912           11.319088            9.081778            9.039194           10.145167           11.293901            9.081596           -1.000000
  196         8.1500000000000004E+000         3.3955959272299047E-001         3.3955896590999524E-001         3.5437652935992072E+000         4.9270088251972846E+000        -1.8282486092815136E+000         0.0000000000000000E+000            0.041269           13.407455           12.338858           10.961297            9.945887            8.761362            7.538728            6.880310            6.675554           10.042874           11.635871           10.976559           12.601830           11.172638           10.066501           11.230948            9.029681           10.047660           11.186947           11.231174            9.008573            8.967009           10.067566           11.205855            9.008503           -1.000000
  197         8.1500000000000004E+000         3.5820212715801991E-001         3.5820145974118012E-001         3.5480202193395507E+000         4.9189974208424330E+000        -1.7800225384153465E+000         0.0000000000000000E+000            0.041245           13.226235           12.152164           10.778851            9.779146            8.628859            7.430799            6.770640            6.567519            9.887772           11.453015           10.800884           12.419799           10.987501            9.916467           11.048462            8.892149            9.896619           11.004601           11.049008            8.871197            8.832758            9.916563           11.023258            8.871489           -1.000000
  198         8.1500000000000004E+000         4.0263375382878014E-001         4.0263298570867601E-001         3.5574822647010320E+000         4.8920433945732267E+000        -1.6645687966153750E+000         0.0000000000000000E+000            0.041187           12.817478           11.726288           10.359287            9.390998            8.317665            7.171454            6.506127            6.306462            9.524721           11.033854           10.394461           12.006878           10.561945            9.564222           10.628873            8.568145            9.542338           10.585330           10.630205            8.547522            8.515713            9.562363           10.603408            8.548717           -1.000000
  199         8.1500000000000004E+000         4.5623280905261715E-001         4.5623190845452488E-001         3.5698089624417086E+000         4.8478855713984785E+000        -1.5169421976505228E+000         0.0000000000000000E+000            0.041101           12.311256           11.192152            9.832331            8.901017            7.925684            6.841226            6.165412            5.972828            9.064632           10.508955            9.881935           11.490214           10.026941            9.117141           10.101872            8.157909            9.092942           10.058750           10.104275            8.137678            8.113779            9.113083           10.076123            8.140134           -1.000000
  200         8.1500000000000004E+000         4.9735429152408950E-001         4.9735327678523666E-001         3.5800842384910627E+000         4.8106496240105612E+000        -1.4009728580838710E+000         0.0000000000000000E+000            0.041035           11.912315           10.771456            9.423331            8.521804            7.621244            6.582273            5.894064            5.712102            8.706031           10.101162            9.483286           11.081945            9.610726            8.768068            9.692692            7.838442            8.742221            9.649927            9.695911            7.818502            7.800355            8.762484            9.666845            7.821971           -1.000000
  201         8.1500000000000004E+000         5.2762618219477886E-001         5.2762507168447215E-001         3.5880490174754907E+000         4.7870591225562569E+000        -1.3202316112988015E+000         0.0000000000000000E+000            0.040973           11.630876           10.473272            9.137223            8.257226            7.411192            6.403757            5.704225            5.533130            8.454916            9.816365            9.203740           10.792763            9.318707            8.523520            9.406341            7.616320            8.496598            9.363855            9.410156            7.596583            7.582372            8.516964            9.380487            7.600847           -1.000000
  202         8.1500000000000004E+000         5.5911332115399903E-001         5.5911210262130939E-001         3.5956037402597247E+000         4.7628359968973646E+000        -1.2403797932984078E+000         0.0000000000000000E+000            0.040917           11.354187           10.183434            8.862186            8.002748            7.205435            6.225452            5.515620            5.355877            8.211159            9.541346            8.934210           10.510269            9.037723            8.285387            9.130939            7.399330            8.257576            9.088735            9.135280            7.379770            7.368879            8.278054            9.105152            7.384770            0.000000
  203         8.1500000000000004E+000         5.8392880060283558E-001         5.8392748825301566E-001         3.6022353605274509E+000         4.7430397180080179E+000        -1.1753022375246949E+000         0.0000000000000000E+000            0.040874           11.115972            9.939426            8.634496            7.794356            7.037308            6.080605            5.364820            5.214765            8.010571            9.311400            8.711190           10.271074            8.804503            8.089320            8.902780            7.221961            8.060800            8.860845            8.907535            7.202547            7.194285            8.081392            8.877122            7.208154            0.000000
  204         8.1500000000000004E+000         6.0282482854815278E-001         6.0282344204464644E-001         3.6078137289226571E+000         4.7275192893964384E+000        -1.1234310769229905E+000         0.0000000000000000E+000            0.040840           10.916727            9.739235            8.450884            7.627980            6.902936            5.965044            5.246773            5.104627            7.849491            9.124568            8.531360           10.073721            8.615925            7.931737            8.718646            7.080232            7.902673            8.676955            8.723722            7.060934            7.054663            7.923378            8.693155            7.067025            0.000000
